num,fips,date_range_start,weighted_average
6,06019,2020-01-25,9980.89921210889
7,06019,2020-02-01,9583.388889604155
8,06019,2020-02-08,9968.82982714949
9,06019,2020-02-15,10704.26459040843
10,06019,2020-02-22,10164.469446219715
11,06019,2020-02-29,10203.58620130396
12,06019,2020-03-07,9910.803286717048
13,06019,2020-03-14,8535.611376953977
14,06019,2020-03-21,7495.86129568259
15,06019,2020-03-28,7133.0817357205315
16,06019,2020-04-04,6547.856125539912
17,06019,2020-04-11,6834.102375059857
18,06019,2020-04-18,7428.622763648646
19,06019,2020-04-25,7900.224522075626
20,06019,2020-05-02,7750.581731766511
21,06019,2020-05-09,8339.465073390293
22,06019,2020-05-16,8488.862303327329
23,06019,2020-05-23,9230.077885689307
24,06019,2020-05-30,9401.354071654969
25,06019,2020-06-06,9633.498772496949
26,06019,2020-06-13,9522.992359593587
27,06019,2020-06-20,9743.775121738034
28,06019,2020-06-27,9711.450245500737
29,06019,2020-07-04,9583.357125443134
30,06019,2020-07-11,9535.237717740478
31,06019,2020-07-18,9626.94816618791
32,06019,2020-07-25,9912.988583005994
33,06019,2020-08-01,9769.429026892905
34,06019,2020-08-08,9687.159963515587
35,06019,2020-08-15,9529.700748846457
36,06019,2020-08-22,9328.301908727417
37,06019,2020-08-29,9382.005417997712
38,06019,2020-09-05,9488.492506695546
39,06019,2020-09-12,9162.10865260382
40,06019,2020-09-19,9522.573942551428
41,06019,2020-09-26,9850.70779160901
42,06019,2020-10-03,9122.821474662847
43,06019,2020-10-10,9267.826224008424
44,06019,2020-10-17,9471.391792211549
45,06019,2020-10-24,9285.56151931783
46,06019,2020-10-31,9361.707768972601
47,06019,2020-11-08,9261.656094346425
1,06021,2019-12-21,15463.24795397122
2,06021,2019-12-28,14756.42173112645
3,06021,2020-01-04,13809.649892664891
4,06021,2020-01-11,14109.018473404578
5,06021,2020-01-18,14392.694206653778
6,06021,2020-01-25,13980.254501860747
7,06021,2020-02-01,13518.750177953814
8,06021,2020-02-08,14385.748651859578
9,06021,2020-02-15,15862.450299779912
10,06021,2020-02-22,14462.542782817161
11,06021,2020-02-29,14507.384123565767
12,06021,2020-03-07,13840.691139763301
13,06021,2020-03-14,11737.654052939008
14,06021,2020-03-21,10384.86513520187
15,06021,2020-03-28,9282.690773390685
16,06021,2020-04-04,9165.81153344464
17,06021,2020-04-11,10306.819738588563
18,06021,2020-04-18,10814.960601125245
19,06021,2020-04-25,11609.240112992378
20,06021,2020-05-02,12172.901073517849
21,06021,2020-05-09,11944.46281097145
22,06021,2020-05-16,12184.41887767337
23,06021,2020-05-23,13303.594778271972
24,06021,2020-05-30,13211.289765330721
25,06021,2020-06-06,13470.80626114906
26,06021,2020-06-13,13343.287701949987
27,06021,2020-06-20,13495.397695011943
28,06021,2020-06-27,13935.571463998916
29,06021,2020-07-04,13723.524507028811
30,06021,2020-07-11,13869.968838701396
31,06021,2020-07-18,13737.491000599664
32,06021,2020-07-25,14157.55106887951
33,06021,2020-08-01,13965.236122294415
34,06021,2020-08-08,13687.85073981922
35,06021,2020-08-15,13367.0892573812
36,06021,2020-08-22,13659.929106324762
37,06021,2020-08-29,13669.855896698056
38,06021,2020-09-05,12598.690259863024
39,06021,2020-09-12,12722.790668330332
40,06021,2020-09-19,12981.187924924923
41,06021,2020-09-26,13694.86932630761
42,06021,2020-10-03,13549.786722976422
43,06021,2020-10-10,13356.51266726793
44,06021,2020-10-17,13836.552794041481
45,06021,2020-10-24,13208.003516254488
46,06021,2020-10-31,14041.29150244912
47,06021,2020-11-08,13856.479670100702
1,06023,2019-12-21,12932.051472701061
2,06023,2019-12-28,13043.085958379103
3,06023,2020-01-04,11818.538183171248
4,06023,2020-01-11,11506.11906231576
5,06023,2020-01-18,11546.933192616509
6,06023,2020-01-25,11245.030117291615
7,06023,2020-02-01,10676.233059321234
8,06023,2020-02-08,11041.065534756548
9,06023,2020-02-15,12870.605048868129
10,06023,2020-02-22,11504.615667552484
11,06023,2020-02-29,11168.290425402585
12,06023,2020-03-07,11615.35342181236
13,06023,2020-03-14,11022.15812846162
14,06023,2020-03-21,9810.426154195153
15,06023,2020-03-28,8388.477357772772
16,06023,2020-04-04,7452.6684171108045
17,06023,2020-04-11,8420.099182623755
18,06023,2020-04-18,8707.276017559692
19,06023,2020-04-25,8994.372085584353
20,06023,2020-05-02,8063.138650472258
21,06023,2020-05-09,8342.613199695767
22,06023,2020-05-16,8676.193164354012
23,06023,2020-05-23,9884.494949181473
24,06023,2020-05-30,9434.828725567691
